Ho Chi Minh City,Ha Noi,1146.72
Da Nang,Hai Phong,556.57
Bien Hoa,Hue,619.2
Nha Trang,Can Tho,445.32
Rach Gia,Quy Nhon,614.53
Vung Tau,Nam Dinh,1123.45
Phan Thiet,Long Xuyen,299.52
Ha Long,Buon Ma Thuot,926.9
Cam Ranh,Cam Pha Mines,1034.02
Thai Nguyen,Da Lat,1108.3
My Tho,Soc Trang,92.38
Pleiku,Thanh Hoa,688.97
Ca Mau,Bac Lieu,64.18
Yen Vinh,Hoa Binh,241.15
Vinh Long,Yen Bai,1278.52
Viet Tri,Phan Rang-Thap Cham,1146.66
Chau Doc,Tuy Hoa,526.65
Tan An,Uong Bi,1168.15
Sa Dec,Ben Tre,67.88
Tam Ky,Hai Duong,639.04
Tra Vinh,Bim Son,1129.03
Bac Giang,Thai Binh,91.86
Ha Dong,Phu Khuong,1078
Kon Tum,Bac Ninh,787.31
Cao Bang,Son Tay,186.56
Chau Doc,Can Tho,90
Can Tho,Ho Chi Minh City,230
Chau Doc,Ho Chi Minh City,320
Can Tho,Rach Gia,90
Can Tho,Vinh Long,45
Vinh Long,Ho Chi Minh City,180
My Tho,Ho Chi Minh City,95
Ho Chi Minh City,Tay Ninh,100
Ho Chi Minh City,Cu Chi,50
Cu Chi,Tay Ninh,50
Tay Ninh,Moc Bai,55
Ho Chi Minh City,Mui Ne,220
Ho Chi Minh City,Da Lat,340
Ho Chi Minh City,Buon Ma Thuot,336
Buon Ma Thuot,Kontum,250
Kontum,Phuoc Son,220
Phuoc Son,Hoi An,160
Hoi An,Da Nang,35
Da Nang,Hue,130
Mui Ne,Da Lat,180
Da Lat,Nha Trang,240
Nha Trang,Qui Nhon,250
Mui Ne,Nha Trang,260
Qui Nhon,Hoi An,280
Quang Ngai,My Lai,12
Hue,Dong Hoi,190
Dong Hoi,Vinh,200
Vinh,Ha Noi,330
Ha Noi,Ninh Binh,100
Ninh Binh,Mai Chau,200
Ninh Binh,Ha Long,300
Ha Long City,Ha Noi,160
Ha Noi,Sapa,400
Ha Noi,Mai Chau,200
Mai Chau,Son La,190
Son La,Dien Bien Phu,200
Dien Bien Phu,Muong Lay,105
Muong Lay,Sapa,200
Sapa,Lao Cai,38 
Lao Cai,Bac Ha,100
Nam Dinh,Vinh,233
Phan Thiet,Bien Hoa,179
Cam Ranh,Nam Dinh,1270
Thanh Hoa,Ha Long,270
Ca Mau,Vinh Long,180
Hoa Binh,Ha Noi,91.6
Viet Tri,Bac Ninh,90.6
Uong Bi,Thai Nguyen,143
Ben Tre,Hai Duong,1615
Tra Vinh,Chau Doc,205
Hai Duong,Nha Trang,1307
Bac Ninh,Thai Binh,137
Ha Dong,Hue,690
Cao Bang,Bac Ninh,369
Quang Ngai,Da Lat,546
Ha Noi,Viet Tri,1000